movieId,title,genres,release_date,poster_url,IMDb Rating,Rotten Tomatoes,Director,Lead Actors,Oscars Won,Golden Globes Won,BAFTAs Won,Runtime,Language
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,22-Nov-95,https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@._V1_SX300.jpg,8.3,100%,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles",3,0,0,81 min,English
2,Jumanji (1995),Adventure|Children|Fantasy,15-Dec-95,https://m.media-amazon.com/images/M/MV5BYTFkMjFmODgtYzRiZi00NmQwLTliZWMtMzRhMWQ5ZmY3ZDExXkEyXkFqcGc@._V1_SX300.jpg,7.1,52%,Joe Johnston,"Robin Williams, Kirsten Dunst, Bonnie Hunt",0,0,0,104 min,"English, French"
3,Grumpier Old Men (1995),Comedy|Romance,22-Dec-95,https://m.media-amazon.com/images/M/MV5BMjc0OWM2YTktZWYyMi00YzU1LTljYmEtYmMyNTRlMWFlMzI4XkEyXkFqcGc@._V1_SX300.jpg,6.7,21%,Howard Deutch,"Walter Matthau, Jack Lemmon, Ann-Margret",0,0,0,101 min,"English, Italian, German"
4,Waiting to Exhale (1995),Comedy|Drama|Romance,22-Dec-95,https://m.media-amazon.com/images/M/MV5BZWU4NzA3MDQtODYyOS00OTliLTk3MGEtYzM2ZjNkZmI5ODk5XkEyXkFqcGc@._V1_SX300.jpg,6.0,56%,Forest Whitaker,"Whitney Houston, Angela Bassett, Loretta Devine",0,0,0,124 min,English
5,Father of the Bride Part II (1995),Comedy,08-Dec-95,https://m.media-amazon.com/images/M/MV5BOTMwNzE2Y2YtNzZhMy00YTljLWI1MzQtMTI3YjkxYTg2NjRmXkEyXkFqcGc@._V1_SX300.jpg,6.1,54%,Charles Shyer,"Steve Martin, Diane Keaton, Martin Short",0,0,0,106 min,English
6,Heat (1995),Action|Crime|Thriller,15-Dec-95,https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_SX300.jpg,8.3,83%,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer",0,0,0,170 min,"English, Spanish"
7,Sabrina (1995),Comedy|Romance,15-Dec-95,https://m.media-amazon.com/images/M/MV5BNGZiMmM3YjEtZmQ3Zi00OTQxLTk5MGQtOTBhMDM1MWVkNzFmXkEyXkFqcGc@._V1_SX300.jpg,6.3,61%,Sydney Pollack,"Harrison Ford, Julia Ormond, Greg Kinnear",2,0,0,127 min,"English, French"
8,Tom and Huck (1995),Adventure|Children,22-Dec-95,https://m.media-amazon.com/images/M/MV5BOGRlOTlkMDYtYjM4Ny00MGJhLWEyZGItMGYxYzUzNWQ1YWQ4XkEyXkFqcGc@._V1_SX300.jpg,5.5,25%,Peter Hewitt,"Jonathan Taylor Thomas, Brad Renfro, Charles Rocket",0,0,0,97 min,English
9,Sudden Death (1995),Action,22-Dec-95,https://m.media-amazon.com/images/M/MV5BZmUwYmQ1MGYtNDk4MC00YjkyLTg2YTktZmE3NmZkZDY2MGE1XkEyXkFqcGc@._V1_SX300.jpg,5.8,51%,Peter Hyams,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry",0,0,0,111 min,English
10,GoldenEye (1995),Action|Adventure|Thriller,17-Nov-95,https://m.media-amazon.com/images/M/MV5BOGQxNmYyY2YtZGIyNy00ODgxLThhZWEtZGIyNjJhYzFlOTllXkEyXkFqcGc@._V1_SX300.jpg,7.2,80%,Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco",0,0,2,130 min,"English, Russian, Spanish"
11,"American President, The (1995)",Comedy|Drama|Romance,17-Nov-95,https://m.media-amazon.com/images/M/MV5BZTcyNDAzYTUtNjBjMC00YTk3LTg5MTItMzM3MjhlNGE5YWNlXkEyXkFqcGc@._V1_SX300.jpg,6.8,91%,Rob Reiner,"Michael Douglas, Annette Bening, Martin Sheen",1,0,0,114 min,"English, French, Spanish"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,22-Dec-95,https://m.media-amazon.com/images/M/MV5BN2I2MjQzYTgtZWU5ZS00ZGZmLWFhNmQtNjVlODE0OTM4Y2JhXkEyXkFqcGc@._V1_SX300.jpg,5.8,11%,Mel Brooks,"Leslie Nielsen, Mel Brooks, Peter MacNicol",0,0,0,88 min,"English, German"
13,Balto (1995),Adventure|Animation|Children,22-Dec-95,https://m.media-amazon.com/images/M/MV5BNzY2OGY3MTYtMTlhNC00MDUyLWE2OGEtNzMzZjQxYjFiYjRiXkEyXkFqcGc@._V1_SX300.jpg,7.1,56%,Simon Wells,"Kevin Bacon, Bob Hoskins, Bridget Fonda",0,0,0,78 min,English
14,Nixon (1995),Drama,05-Jan-96,https://m.media-amazon.com/images/M/MV5BNDk3YWU1NmEtMDBhMC00ZGYwLWFiNzQtMzkwMzg4YjA4MDY4XkEyXkFqcGc@._V1_SX300.jpg,7.1,77%,Oliver Stone,"Anthony Hopkins, Joan Allen, Powers Boothe",4,0,0,192 min,"English, Mandarin, Russian"
15,Cutthroat Island (1995),Action|Adventure|Romance,22-Dec-95,https://m.media-amazon.com/images/M/MV5BZTQ3OWY2NTctOTAyNS00MThjLTgyZjEtNzgzZGNiZDNhODUyXkEyXkFqcGc@._V1_SX300.jpg,5.7,40%,Renny Harlin,"Geena Davis, Matthew Modine, Frank Langella",0,0,0,124 min,"English, Spanish, Latin, French"
16,Casino (1995),Crime|Drama,22-Nov-95,https://m.media-amazon.com/images/M/MV5BMDRlZWZjZjYtYzY2NS00ZWVjLTkwYzAtZTA2ZDAzMGRiYmYwXkEyXkFqcGc@._V1_SX300.jpg,8.2,79%,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci",1,0,0,178 min,English
